state_name,year,total_dbt_transfer,Sl. No.,state,flood_amount_raw,flood_amount,state_norm,dbt_change,flood_flag
odisha,2019,5529600000.0,19.0,odisha,454.82,454.82,odisha,,1
odisha,2020,174187367803.0,19.0,odisha,1509.33,1509.33,odisha,3050.089840187355,1
odisha,2021,199937245240.0,19.0,odisha,379.51,379.51,odisha,14.78286155981312,1
odisha,2022,183351493156.0,,,,,,-8.295478945951695,0
odisha,2023,59072412900.8,,,,,,-67.78187519283536,0
,2017,,36.0,puduchcherry,,,puduchcherry,,0
,2018,,36.0,puduchcherry,0.6,0.6,puduchcherry,,1
,2019,,36.0,puduchcherry,,,puduchcherry,,0
,2020,,36.0,puduchcherry,,,puduchcherry,,0
,2021,,36.0,puduchcherry,15.71,15.71,puduchcherry,,1
puducherry,2019,449700000.0,,,,,,,0
puducherry,2020,3619997731.21,,,,,,704.980593998221,0
puducherry,2021,3625963629.71,,,,,,0.16480392925566356,0
puducherry,2022,4737589554.99,,,,,,30.657393145692048,0
puducherry,2023,703451466.47,,,,,,-85.1517009165754,0
,2017,,20.0,punjab,18.64,18.64,punjab,,1
,2018,,20.0,punjab,124.52,124.52,punjab,,1
punjab,2019,9484000000.0,20.0,punjab,,,punjab,,0
punjab,2020,125186660601.0,20.0,punjab,,,punjab,1219.977442018136,0
punjab,2021,143815485230.21,20.0,punjab,46.61,46.61,punjab,14.880838373494543,1
punjab,2022,217815933077.7,,,,,,51.45513205969105,0
punjab,2023,42229941754.5,,,,,,-80.61209703174671,0
,2017,,21.0,rajasthan,1876.86,1876.86,rajasthan,,1
,2018,,21.0,rajasthan,31.73,31.73,rajasthan,,1
rajasthan,2019,11116800000.0,21.0,rajasthan,8820.91,8820.91,rajasthan,,1
rajasthan,2020,329837403685.0,21.0,rajasthan,191.17,191.17,rajasthan,2867.0175201946604,1
rajasthan,2021,281968471353.0,21.0,rajasthan,5477.18,5477.18,rajasthan,-14.512887803869445,1
rajasthan,2022,371157642832.0,,,,,,31.630902225001932,0
rajasthan,2023,54784436151.9,,,,,,-85.23957751916818,0
,2017,,22.0,sikkim,245.44,245.44,sikkim,,1
,2018,,22.0,sikkim,,,sikkim,,0
sikkim,2019,253300000.0,22.0,sikkim,,,sikkim,,0
sikkim,2020,646971361.0,22.0,sikkim,349.0,349.0,sikkim,155.4170394788788,1
sikkim,2021,1319303466.2,22.0,sikkim,92.43,92.43,sikkim,103.91991759276652,1
sikkim,2022,2079115678.8000002,,,,,,57.59192119675796,0
sikkim,2023,380915745.51,,,,,,-81.67895373047004,0
tamil nadu,2019,22292400000.0,,,,,,,0
tamil nadu,2020,181389325160.0,,,,,,713.6823543449786,0
tamil nadu,2021,233194752883.0,,,,,,28.560350879139907,0
tamil nadu,2022,242547505482.0,,,,,,4.010704564906109,0
tamil nadu,2023,74031833592.7,,,,,,-69.47738817367714,0
,2017,,23.0,tamilnadu,,,tamilnadu,,0
,2018,,23.0,tamilnadu,,,tamilnadu,,0
,2019,,23.0,tamilnadu,1.21,1.21,tamilnadu,,1
,2020,,23.0,tamilnadu,,,tamilnadu,,0
,2021,,23.0,tamilnadu,7039.56,7039.56,tamilnadu,,1
telangana,2019,10261400000.0,,,,,,,0
telangana,2020,140504048546.3,,,,,,1269.2483340119281,0
telangana,2021,182531555628.0,,,,,,29.911954507026728,0
telangana,2022,246432825873.0,,,,,,35.00834144822116,0
telangana,2023,29833643321.3,,,,,,-87.89380302091944,0
,2017,,24.0,telengana,,,telengana,,0
,2018,,24.0,telengana,,,telengana,,0
,2019,,24.0,telengana,,,telengana,,0
,2020,,24.0,telengana,,,telengana,,0
,2021,,24.0,telengana,,,telengana,,0
the dadra and nagar haveli and daman and diu,2020,2479627360.07,,,,,,,0
the dadra and nagar haveli and daman and diu,2021,2509163461.7,,,,,,1.1911508199024645,0
the dadra and nagar haveli and daman and diu,2022,1822481037.8,,,,,,-27.366986423226535,0
the dadra and nagar haveli and daman and diu,2023,163713429.0,,,,,,-91.01700233887613,0
,2017,,38.0,total,30665.8455,30665.8455,total,,1
,2018,,38.0,total,18349.97168,18349.97168,total,,1
,2019,,38.0,total,15868.52,15868.52,total,,1
,2020,,38.0,total,21194.18,21194.18,total,,1
,2021,,38.0,total,49617.62,49617.62,total,,1
,2017,,25.0,tripura,132.82,132.82,tripura,,1
,2018,,25.0,tripura,946.18,946.18,tripura,,1
tripura,2019,1034900000.0,25.0,tripura,437.65,437.65,tripura,,1
tripura,2020,24353273975.0,25.0,tripura,137.92,137.92,tripura,2253.2006933037005,1
tripura,2021,38523586709.0,25.0,tripura,38.12,38.12,tripura,58.18647935610883,1
tripura,2022,36825640499.0,,,,,,-4.407549646988917,0
tripura,2023,10245531372.7,,,,,,-72.17826700671175,0
,2017,,26.0,uttar pradesh,308.05,308.05,uttar pradesh,,1
,2018,,26.0,uttar pradesh,547.42,547.42,uttar pradesh,,1
uttar pradesh,2019,37774900000.0,26.0,uttar pradesh,809.63,809.63,uttar pradesh,,1
uttar pradesh,2020,659262442611.0,26.0,uttar pradesh,602.96,602.96,uttar pradesh,1645.239411913731,1
uttar pradesh,2021,514638153253.0,26.0,uttar pradesh,825.26,825.26,uttar pradesh,-21.93728627786189,1
uttar pradesh,2022,681579756393.0,,,,,,32.438637144325796,0
uttar pradesh,2023,135699116422.8,,,,,,-80.090500759451,0
,2017,,27.0,uttarakhand,,,uttarakhand,,0
,2018,,27.0,uttarakhand,,,uttarakhand,,0
uttarakhand,2019,2677900000.0,27.0,uttarakhand,,,uttarakhand,,0
uttarakhand,2020,24090252455.3,27.0,uttarakhand,,,uttarakhand,799.5949234586803,0
uttarakhand,2021,31465603042.3,27.0,uttarakhand,,,uttarakhand,30.615497287482253,0
uttarakhand,2022,46372917716.0,,,,,,47.37654210427724,0
uttarakhand,2023,5815526151.17,,,,,,-87.45921879061865,0
,2017,,28.0,west bengal,17727.94,17727.94,west bengal,,1
,2018,,28.0,west bengal,54.01,54.01,west bengal,,1
west bengal,2019,19336800000.0,28.0,west bengal,1269.83,1269.83,west bengal,,1
west bengal,2020,172307192699.6,28.0,west bengal,,,west bengal,791.0843195337388,0
west bengal,2021,139450577058.0,28.0,west bengal,16079.45,16079.45,west bengal,-19.06862686741241,1
west bengal,2022,97683603798.0,,,,,,-29.951093886566248,0
west bengal,2023,19734485037.32,,,,,,-79.797546087541,0
